MLC ID,Commitment,Reporting Lead,All ministers
2324,Modernize NORAD by investing in infrastructure and capabilities to support operations in the North.,Minister of National Defence,Minister of National Defence
2326,Extend Operation REASSURANCE in Eastern Europe.,Minister of National Defence,Minister of National Defence; Minister of Foreign Affairs
2328,Establish a new NATO Centre of Excellence on Climate and Security based in Canada.,Minister of Foreign Affairs,Minister of Foreign Affairs; Minister of National Defence
2329,Ensure the Communications Security Establishment is in a position to lead Canada’s response to rapidly evolving cyber risks and threats.,Minister of National Defence,Minister of National Defence; Minister of Public Safety
2333,Renew the fleet of the Royal Canadian Navy.,Minister of National Defence,"Minister of National Defence; Minister of Public Services and Procurement; Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Innovation, Science and Industry"
2336,Maintain regular participation in NATO aerial and maritime patrol operations.,Minister of National Defence,Minister of National Defence; Minister of Foreign Affairs
2337,Extend Canada’s support to Ukraine through Operation UNIFIER.,Minister of National Defence,Minister of National Defence; Minister of Foreign Affairs
2339,Ensuring CAF members have access to child care.,Minister of National Defence,Minister of National Defence
2401,"Support Canadians and Canadian businesses by efficiently implementing, processing, and issuing COVID-19-related benefits.",Minister of National Revenue,"Minister of National Revenue; Minister of Employment, Workforce Development and Disability Inclusion; Deputy Prime Minister and Minister of Finance"
2402,"Implement the enhanced Canada Workers Benefit and ensure Canadians who qualify are automatically enrolled, with the benefits delivered on a quarterly basis.",Minister of National Revenue,Minister of National Revenue
2403,Extend and increase the Simplified Home Office Expense Deduction for employees for an additional two years.,Minister of National Revenue,Minister of National Revenue
2404,Ensure the effective delivery and integrity of other relief and recovery measures delivered by the CRA.,Minister of National Revenue,Minister of National Revenue
2405,"Increase resources to combat aggressive tax planning, tax avoidance and tax evasion that allows the wealthiest to avoid paying the taxes that they owe.",Minister of National Revenue,Minister of National Revenue
